group	accession	genotype	sequence_length	protein	start	end	strand	source
GII	PQ336852	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336852	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336852	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336853	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336853	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336853	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336853	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336853	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336853	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336853	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336853	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336853	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336854	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336854	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336854	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336854	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336854	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336854	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336854	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336854	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336854	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336855	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336855	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336855	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336855	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336855	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336855	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336855	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336855	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336855	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336856	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336856	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336856	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336856	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336856	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336856	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336856	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336856	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336856	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336857	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336857	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336857	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336857	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336857	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336857	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336857	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336857	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336857	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336858	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336858	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336858	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336858	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336858	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336858	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336858	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336858	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336858	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336859	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336859	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336859	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336859	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336859	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336859	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336859	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336859	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336859	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336860	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336860	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336860	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336860	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336860	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336860	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336860	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336860	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336860	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336861	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336861	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336861	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336861	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336861	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336861	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336861	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336861	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336861	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336862	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336862	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336862	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336862	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336862	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336862	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336862	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336862	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336862	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336863	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336863	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336863	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336863	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336863	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336863	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336863	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336863	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336863	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336864	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336864	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336864	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336864	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336864	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336864	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336864	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336864	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336864	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336865	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336865	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336865	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336865	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336865	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336865	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336865	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336865	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336865	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336866	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336866	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336866	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336866	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336866	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336866	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336866	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336866	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336866	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336867	GII.17	7493	VP1	5067	6683	+	genbank
GII	PQ336867	GII.17	7493	VP2	6683	7462	+	genbank
GII	PQ336867	GII.17	7493	ORF1	1	5086	+	genbank
GII	PQ336867	GII.17	7493	p48	1	1322	+	orf1_relative
GII	PQ336867	GII.17	7493	NTPase	1323	2085	+	orf1_relative
GII	PQ336867	GII.17	7493	p22	2086	2492	+	orf1_relative
GII	PQ336867	GII.17	7493	VPg	2493	2899	+	orf1_relative
GII	PQ336867	GII.17	7493	3CLpro	2900	3458	+	orf1_relative
GII	PQ336867	GII.17	7493	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336868	GII.17	7499	VP1	5067	6689	+	genbank
GII	PQ336868	GII.17	7499	VP2	6689	7468	+	genbank
GII	PQ336868	GII.17	7499	ORF1	1	5086	+	genbank
GII	PQ336868	GII.17	7499	p48	1	1322	+	orf1_relative
GII	PQ336868	GII.17	7499	NTPase	1323	2085	+	orf1_relative
GII	PQ336868	GII.17	7499	p22	2086	2492	+	orf1_relative
GII	PQ336868	GII.17	7499	VPg	2493	2899	+	orf1_relative
GII	PQ336868	GII.17	7499	3CLpro	2900	3458	+	orf1_relative
GII	PQ336868	GII.17	7499	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336869	GII.17	7499	VP1	5067	6689	+	genbank
GII	PQ336869	GII.17	7499	VP2	6689	7468	+	genbank
GII	PQ336869	GII.17	7499	ORF1	1	5086	+	genbank
GII	PQ336869	GII.17	7499	p48	1	1322	+	orf1_relative
GII	PQ336869	GII.17	7499	NTPase	1323	2085	+	orf1_relative
GII	PQ336869	GII.17	7499	p22	2086	2492	+	orf1_relative
GII	PQ336869	GII.17	7499	VPg	2493	2899	+	orf1_relative
GII	PQ336869	GII.17	7499	3CLpro	2900	3458	+	orf1_relative
GII	PQ336869	GII.17	7499	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336870	GII.17	7499	VP1	5067	6689	+	genbank
GII	PQ336870	GII.17	7499	VP2	6689	7468	+	genbank
GII	PQ336870	GII.17	7499	ORF1	1	5086	+	genbank
GII	PQ336870	GII.17	7499	p48	1	1322	+	orf1_relative
GII	PQ336870	GII.17	7499	NTPase	1323	2085	+	orf1_relative
GII	PQ336870	GII.17	7499	p22	2086	2492	+	orf1_relative
GII	PQ336870	GII.17	7499	VPg	2493	2899	+	orf1_relative
GII	PQ336870	GII.17	7499	3CLpro	2900	3458	+	orf1_relative
GII	PQ336870	GII.17	7499	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336871	GII.17	7499	VP1	5067	6689	+	genbank
GII	PQ336871	GII.17	7499	VP2	6689	7468	+	genbank
GII	PQ336871	GII.17	7499	ORF1	1	5086	+	genbank
GII	PQ336871	GII.17	7499	p48	1	1322	+	orf1_relative
GII	PQ336871	GII.17	7499	NTPase	1323	2085	+	orf1_relative
GII	PQ336871	GII.17	7499	p22	2086	2492	+	orf1_relative
GII	PQ336871	GII.17	7499	VPg	2493	2899	+	orf1_relative
GII	PQ336871	GII.17	7499	3CLpro	2900	3458	+	orf1_relative
GII	PQ336871	GII.17	7499	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336872	GII.17	7499	VP1	5067	6689	+	genbank
GII	PQ336872	GII.17	7499	VP2	6689	7468	+	genbank
GII	PQ336872	GII.17	7499	ORF1	1	5086	+	genbank
GII	PQ336872	GII.17	7499	p48	1	1322	+	orf1_relative
GII	PQ336872	GII.17	7499	NTPase	1323	2085	+	orf1_relative
GII	PQ336872	GII.17	7499	p22	2086	2492	+	orf1_relative
GII	PQ336872	GII.17	7499	VPg	2493	2899	+	orf1_relative
GII	PQ336872	GII.17	7499	3CLpro	2900	3458	+	orf1_relative
GII	PQ336872	GII.17	7499	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336873	GII.17	7499	VP1	5067	6689	+	genbank
GII	PQ336873	GII.17	7499	VP2	6689	7468	+	genbank
GII	PQ336873	GII.17	7499	ORF1	1	5086	+	genbank
GII	PQ336873	GII.17	7499	p48	1	1322	+	orf1_relative
GII	PQ336873	GII.17	7499	NTPase	1323	2085	+	orf1_relative
GII	PQ336873	GII.17	7499	p22	2086	2492	+	orf1_relative
GII	PQ336873	GII.17	7499	VPg	2493	2899	+	orf1_relative
GII	PQ336873	GII.17	7499	3CLpro	2900	3458	+	orf1_relative
GII	PQ336873	GII.17	7499	RdRp	4305	5061	+	inferred_from_region_blast
GII	PQ336942	GII.17	7468	VP1	5073	6689	+	genbank
GII	PQ336942	GII.17	7468	VP2	6689	7468	+	genbank
GII	PQ336942	GII.17	7468	ORF1	1	5092	+	genbank
GII	PQ336942	GII.17	7468	p48	1	1324	+	orf1_relative
GII	PQ336942	GII.17	7468	NTPase	1325	2088	+	orf1_relative
GII	PQ336942	GII.17	7468	p22	2089	2495	+	orf1_relative
GII	PQ336942	GII.17	7468	VPg	2496	2902	+	orf1_relative
GII	PQ336942	GII.17	7468	3CLpro	2903	3463	+	orf1_relative
GII	PQ336942	GII.17	7468	RdRp	4311	5067	+	inferred_from_region_blast
GII	PQ336943	GII.17	7367	VP1	5022	6638	+	genbank
GII	PQ336943	GII.17	7367	VP2	6638	7367	+	genbank
GII	PQ336943	GII.17	7367	ORF1	1	5041	+	genbank
GII	PQ336943	GII.17	7367	p48	1	1311	+	orf1_relative
GII	PQ336943	GII.17	7367	NTPase	1312	2067	+	orf1_relative
GII	PQ336943	GII.17	7367	p22	2068	2470	+	orf1_relative
GII	PQ336943	GII.17	7367	VPg	2471	2873	+	orf1_relative
GII	PQ336943	GII.17	7367	3CLpro	2874	3428	+	orf1_relative
GII	PQ336943	GII.17	7367	RdRp	4260	5016	+	inferred_from_region_blast
GII	PQ336944	GII.17	7468	VP1	5073	6689	+	genbank
GII	PQ336944	GII.17	7468	VP2	6689	7468	+	genbank
GII	PQ336944	GII.17	7468	ORF1	1	5092	+	genbank
GII	PQ336944	GII.17	7468	p48	1	1324	+	orf1_relative
GII	PQ336944	GII.17	7468	NTPase	1325	2088	+	orf1_relative
GII	PQ336944	GII.17	7468	p22	2089	2495	+	orf1_relative
GII	PQ336944	GII.17	7468	VPg	2496	2902	+	orf1_relative
GII	PQ336944	GII.17	7468	3CLpro	2903	3463	+	orf1_relative
GII	PQ336944	GII.17	7468	RdRp	4311	5067	+	inferred_from_region_blast
GII	PQ336945	GII.17	7468	VP1	5073	6689	+	genbank
GII	PQ336945	GII.17	7468	VP2	6689	7468	+	genbank
GII	PQ336945	GII.17	7468	ORF1	1	5092	+	genbank
GII	PQ336945	GII.17	7468	p48	1	1324	+	orf1_relative
GII	PQ336945	GII.17	7468	NTPase	1325	2088	+	orf1_relative
GII	PQ336945	GII.17	7468	p22	2089	2495	+	orf1_relative
GII	PQ336945	GII.17	7468	VPg	2496	2902	+	orf1_relative
GII	PQ336945	GII.17	7468	3CLpro	2903	3463	+	orf1_relative
GII	PQ336945	GII.17	7468	RdRp	4311	5067	+	inferred_from_region_blast
GII	PQ373120	GII.17	7547	VP1	5094	6716	+	genbank
GII	PQ373120	GII.17	7547	VP2	6716	7495	+	genbank
GII	PQ373120	GII.17	7547	ORF1	5	5113	+	genbank
GII	PQ373120	GII.17	7547	p48	5	1332	+	orf1_relative
GII	PQ373120	GII.17	7547	NTPase	1333	2099	+	orf1_relative
GII	PQ373120	GII.17	7547	p22	2100	2507	+	orf1_relative
GII	PQ373120	GII.17	7547	VPg	2508	2916	+	orf1_relative
GII	PQ373120	GII.17	7547	3CLpro	2917	3478	+	orf1_relative
GII	PQ373120	GII.17	7547	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373121	GII.17	7553	VP1	5094	6716	+	genbank
GII	PQ373121	GII.17	7553	VP2	6716	7495	+	genbank
GII	PQ373121	GII.17	7553	ORF1	5	5113	+	genbank
GII	PQ373121	GII.17	7553	p48	5	1332	+	orf1_relative
GII	PQ373121	GII.17	7553	NTPase	1333	2099	+	orf1_relative
GII	PQ373121	GII.17	7553	p22	2100	2507	+	orf1_relative
GII	PQ373121	GII.17	7553	VPg	2508	2916	+	orf1_relative
GII	PQ373121	GII.17	7553	3CLpro	2917	3478	+	orf1_relative
GII	PQ373121	GII.17	7553	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373122	GII.17	7549	VP1	5094	6716	+	genbank
GII	PQ373122	GII.17	7549	VP2	6716	7495	+	genbank
GII	PQ373122	GII.17	7549	ORF1	5	5113	+	genbank
GII	PQ373122	GII.17	7549	p48	5	1332	+	orf1_relative
GII	PQ373122	GII.17	7549	NTPase	1333	2099	+	orf1_relative
GII	PQ373122	GII.17	7549	p22	2100	2507	+	orf1_relative
GII	PQ373122	GII.17	7549	VPg	2508	2916	+	orf1_relative
GII	PQ373122	GII.17	7549	3CLpro	2917	3478	+	orf1_relative
GII	PQ373122	GII.17	7549	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373123	GII.17	7557	VP1	5094	6716	+	genbank
GII	PQ373123	GII.17	7557	VP2	6716	7495	+	genbank
GII	PQ373123	GII.17	7557	ORF1	5	5113	+	genbank
GII	PQ373123	GII.17	7557	p48	5	1332	+	orf1_relative
GII	PQ373123	GII.17	7557	NTPase	1333	2099	+	orf1_relative
GII	PQ373123	GII.17	7557	p22	2100	2507	+	orf1_relative
GII	PQ373123	GII.17	7557	VPg	2508	2916	+	orf1_relative
GII	PQ373123	GII.17	7557	3CLpro	2917	3478	+	orf1_relative
GII	PQ373123	GII.17	7557	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373124	GII.17	7546	VP1	5094	6716	+	genbank
GII	PQ373124	GII.17	7546	VP2	6716	7495	+	genbank
GII	PQ373124	GII.17	7546	ORF1	5	5113	+	genbank
GII	PQ373124	GII.17	7546	p48	5	1332	+	orf1_relative
GII	PQ373124	GII.17	7546	NTPase	1333	2099	+	orf1_relative
GII	PQ373124	GII.17	7546	p22	2100	2507	+	orf1_relative
GII	PQ373124	GII.17	7546	VPg	2508	2916	+	orf1_relative
GII	PQ373124	GII.17	7546	3CLpro	2917	3478	+	orf1_relative
GII	PQ373124	GII.17	7546	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373126	GII.17	7557	VP1	5094	6716	+	genbank
GII	PQ373126	GII.17	7557	VP2	6716	7495	+	genbank
GII	PQ373126	GII.17	7557	ORF1	5	5113	+	genbank
GII	PQ373126	GII.17	7557	p48	5	1332	+	orf1_relative
GII	PQ373126	GII.17	7557	NTPase	1333	2099	+	orf1_relative
GII	PQ373126	GII.17	7557	p22	2100	2507	+	orf1_relative
GII	PQ373126	GII.17	7557	VPg	2508	2916	+	orf1_relative
GII	PQ373126	GII.17	7557	3CLpro	2917	3478	+	orf1_relative
GII	PQ373126	GII.17	7557	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373127	GII.17	7557	VP1	5094	6716	+	genbank
GII	PQ373127	GII.17	7557	VP2	6716	7495	+	genbank
GII	PQ373127	GII.17	7557	ORF1	5	5113	+	genbank
GII	PQ373127	GII.17	7557	p48	5	1332	+	orf1_relative
GII	PQ373127	GII.17	7557	NTPase	1333	2099	+	orf1_relative
GII	PQ373127	GII.17	7557	p22	2100	2507	+	orf1_relative
GII	PQ373127	GII.17	7557	VPg	2508	2916	+	orf1_relative
GII	PQ373127	GII.17	7557	3CLpro	2917	3478	+	orf1_relative
GII	PQ373127	GII.17	7557	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373128	GII.17	7507	VP1	5090	6712	+	genbank
GII	PQ373128	GII.17	7507	VP2	6712	7491	+	genbank
GII	PQ373128	GII.17	7507	ORF1	1	5109	+	genbank
GII	PQ373128	GII.17	7507	p48	1	1328	+	orf1_relative
GII	PQ373128	GII.17	7507	NTPase	1329	2095	+	orf1_relative
GII	PQ373128	GII.17	7507	p22	2096	2503	+	orf1_relative
GII	PQ373128	GII.17	7507	VPg	2504	2912	+	orf1_relative
GII	PQ373128	GII.17	7507	3CLpro	2913	3474	+	orf1_relative
GII	PQ373128	GII.17	7507	RdRp	4328	5084	+	inferred_from_region_blast
GII	PQ373129	GII.17	7544	VP1	5089	6705	+	genbank
GII	PQ373129	GII.17	7544	VP2	6705	7484	+	genbank
GII	PQ373129	GII.17	7544	ORF1	1	5108	+	genbank
GII	PQ373129	GII.17	7544	p48	1	1328	+	orf1_relative
GII	PQ373129	GII.17	7544	NTPase	1329	2094	+	orf1_relative
GII	PQ373129	GII.17	7544	p22	2095	2503	+	orf1_relative
GII	PQ373129	GII.17	7544	VPg	2504	2912	+	orf1_relative
GII	PQ373129	GII.17	7544	3CLpro	2913	3473	+	orf1_relative
GII	PQ373129	GII.17	7544	RdRp	4327	5083	+	inferred_from_region_blast
GII	PQ373130	GII.17	7552	VP1	5090	6712	+	genbank
GII	PQ373130	GII.17	7552	VP2	6712	7491	+	genbank
GII	PQ373130	GII.17	7552	ORF1	1	5109	+	genbank
GII	PQ373130	GII.17	7552	p48	1	1328	+	orf1_relative
GII	PQ373130	GII.17	7552	NTPase	1329	2095	+	orf1_relative
GII	PQ373130	GII.17	7552	p22	2096	2503	+	orf1_relative
GII	PQ373130	GII.17	7552	VPg	2504	2912	+	orf1_relative
GII	PQ373130	GII.17	7552	3CLpro	2913	3474	+	orf1_relative
GII	PQ373130	GII.17	7552	RdRp	4328	5084	+	inferred_from_region_blast
GII	PQ373131	GII.17	7550	VP1	5094	6710	+	genbank
GII	PQ373131	GII.17	7550	VP2	6710	7489	+	genbank
GII	PQ373131	GII.17	7550	ORF1	5	5113	+	genbank
GII	PQ373131	GII.17	7550	p48	5	1332	+	orf1_relative
GII	PQ373131	GII.17	7550	NTPase	1333	2099	+	orf1_relative
GII	PQ373131	GII.17	7550	p22	2100	2507	+	orf1_relative
GII	PQ373131	GII.17	7550	VPg	2508	2916	+	orf1_relative
GII	PQ373131	GII.17	7550	3CLpro	2917	3478	+	orf1_relative
GII	PQ373131	GII.17	7550	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373132	GII.17	7550	VP1	5094	6710	+	genbank
GII	PQ373132	GII.17	7550	VP2	6710	7489	+	genbank
GII	PQ373132	GII.17	7550	ORF1	5	5113	+	genbank
GII	PQ373132	GII.17	7550	p48	5	1332	+	orf1_relative
GII	PQ373132	GII.17	7550	NTPase	1333	2099	+	orf1_relative
GII	PQ373132	GII.17	7550	p22	2100	2507	+	orf1_relative
GII	PQ373132	GII.17	7550	VPg	2508	2916	+	orf1_relative
GII	PQ373132	GII.17	7550	3CLpro	2917	3478	+	orf1_relative
GII	PQ373132	GII.17	7550	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373133	GII.17	7551	VP1	5094	6710	+	genbank
GII	PQ373133	GII.17	7551	VP2	6710	7489	+	genbank
GII	PQ373133	GII.17	7551	ORF1	5	5113	+	genbank
GII	PQ373133	GII.17	7551	p48	5	1332	+	orf1_relative
GII	PQ373133	GII.17	7551	NTPase	1333	2099	+	orf1_relative
GII	PQ373133	GII.17	7551	p22	2100	2507	+	orf1_relative
GII	PQ373133	GII.17	7551	VPg	2508	2916	+	orf1_relative
GII	PQ373133	GII.17	7551	3CLpro	2917	3478	+	orf1_relative
GII	PQ373133	GII.17	7551	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373134	GII.17	7542	VP1	5090	6706	+	genbank
GII	PQ373134	GII.17	7542	VP2	6706	7485	+	genbank
GII	PQ373134	GII.17	7542	ORF1	1	5109	+	genbank
GII	PQ373134	GII.17	7542	p48	1	1328	+	orf1_relative
GII	PQ373134	GII.17	7542	NTPase	1329	2095	+	orf1_relative
GII	PQ373134	GII.17	7542	p22	2096	2503	+	orf1_relative
GII	PQ373134	GII.17	7542	VPg	2504	2912	+	orf1_relative
GII	PQ373134	GII.17	7542	3CLpro	2913	3474	+	orf1_relative
GII	PQ373134	GII.17	7542	RdRp	4328	5084	+	inferred_from_region_blast
GII	PQ373135	GII.17	7549	VP1	5090	6706	+	genbank
GII	PQ373135	GII.17	7549	VP2	6706	7485	+	genbank
GII	PQ373135	GII.17	7549	ORF1	1	5109	+	genbank
GII	PQ373135	GII.17	7549	p48	1	1328	+	orf1_relative
GII	PQ373135	GII.17	7549	NTPase	1329	2095	+	orf1_relative
GII	PQ373135	GII.17	7549	p22	2096	2503	+	orf1_relative
GII	PQ373135	GII.17	7549	VPg	2504	2912	+	orf1_relative
GII	PQ373135	GII.17	7549	3CLpro	2913	3474	+	orf1_relative
GII	PQ373135	GII.17	7549	RdRp	4328	5084	+	inferred_from_region_blast
GII	PQ373136	GII.17	7506	VP1	5090	6706	+	genbank
GII	PQ373136	GII.17	7506	VP2	6706	7482	+	genbank
GII	PQ373136	GII.17	7506	ORF1	1	5109	+	genbank
GII	PQ373136	GII.17	7506	p48	1	1328	+	orf1_relative
GII	PQ373136	GII.17	7506	NTPase	1329	2095	+	orf1_relative
GII	PQ373136	GII.17	7506	p22	2096	2503	+	orf1_relative
GII	PQ373136	GII.17	7506	VPg	2504	2912	+	orf1_relative
GII	PQ373136	GII.17	7506	3CLpro	2913	3474	+	orf1_relative
GII	PQ373136	GII.17	7506	RdRp	4328	5084	+	inferred_from_region_blast
GII	PQ373137	GII.17	7506	VP1	5090	6706	+	genbank
GII	PQ373137	GII.17	7506	VP2	6706	7482	+	genbank
GII	PQ373137	GII.17	7506	ORF1	1	5109	+	genbank
GII	PQ373137	GII.17	7506	p48	1	1328	+	orf1_relative
GII	PQ373137	GII.17	7506	NTPase	1329	2095	+	orf1_relative
GII	PQ373137	GII.17	7506	p22	2096	2503	+	orf1_relative
GII	PQ373137	GII.17	7506	VPg	2504	2912	+	orf1_relative
GII	PQ373137	GII.17	7506	3CLpro	2913	3474	+	orf1_relative
GII	PQ373137	GII.17	7506	RdRp	4328	5084	+	inferred_from_region_blast
GII	PQ373138	GII.17	7551	VP1	5094	6710	+	genbank
GII	PQ373138	GII.17	7551	VP2	6710	7489	+	genbank
GII	PQ373138	GII.17	7551	ORF1	5	5113	+	genbank
GII	PQ373138	GII.17	7551	p48	5	1332	+	orf1_relative
GII	PQ373138	GII.17	7551	NTPase	1333	2099	+	orf1_relative
GII	PQ373138	GII.17	7551	p22	2100	2507	+	orf1_relative
GII	PQ373138	GII.17	7551	VPg	2508	2916	+	orf1_relative
GII	PQ373138	GII.17	7551	3CLpro	2917	3478	+	orf1_relative
GII	PQ373138	GII.17	7551	RdRp	4332	5088	+	inferred_from_region_blast
GII	PQ373139	GII.17	7551	VP1	5094	6710	+	genbank
GII	PQ373139	GII.17	7551	VP2	6710	7489	+	genbank
